Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Figueiropolis,20,In Operation,2017,Hydropower,MS,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Finchaa-Amerti-Neshe (Fan),97,In Operation,2011,Hydropower,Oromia,ETHIOPIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://et.china-embassy.org/eng/sgxx/t888572.htm,,,,,,
Flit Solar,11,In Operation,2016,Solar,Oxfordshire,UK,Europe/Central Asia,0,M&A,Yes,Panda Green Energy Group,100,M&A,No,NA,NA,,,,,,,
Fonte Da Mesa,10,In Operation,2013,Wind,Viseu,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Fonte Da Quelha,12,In Operation,2013,Wind,Viseu,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Foyle Wind,10,In Operation,2017,Wind,County Tipperary,IRELAND,Europe/Central Asia,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,https://wallstreetcn.com/articles/280344,,,,,,
Garibaldi,179,In Operation,2015,Hydropower,SC,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,"https://www.ctgbr.com.br/en/portfolio-item/hydropower/ , https://www.ctgbr.com.br/en/business/",,,,,,
Garissa Solar,55,In Operation,2018,Solar,Garissa County,KENYA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.businessdailyafrica.com/economy/Garissa-55MW-solar-farm-starts-operations/3946234-4315276-g2qldpz/index.html,,,,,,
Garland Solar,200,In Operation,2016,Solar,CA,USA,North America,0,Greenfield,Yes,Canadian Solar,49,Greenfield,No,NA,NA,"https://www.nsenergybusiness.com/projects/garland-solar-facility-kern-county/ , https://www.southerncompany.com/content/dam/southern-company/pdf/southernpower/Garland_Solar_Facility_factsheet.pdf",,,,,,
Gaultney Solar,22,In Operation,2016,Solar,Northamptonshire,UK,Europe/Central Asia,0,M&A,Yes,Panda Green Energy Group,100,M&A,No,NA,NA,,,,,,,
Gazipur Industrial,100,Under Planning,Pending,Oil,Dhaka,BANGLADESH,South Asia,345,Greenfield,Yes,PowerChina,Not found,Greenfield,No,NA,NA,https://www.power-technology.com/news/wartsilas-100mw-power-plant-address-power-shortage-bangladesh/,,,,,,
Genale-Dawa-Iii,254,Under Construction,2019,Hydropower,Somali NRG,ETHIOPIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.eepco.gov.et/project.php?pid=28&pcatid=2,,http://cafiec.mofcom.gov.cn/article/hyzc/tongjixuehui/201401/20140100475128.shtml,http://english.cwe.cn/show.aspx?id=1848&cid=22,http://www.quafrica.com/baike/dawa-river.html,,
Geregu-I,420,In Operation,2013,Gas,Kogi,NIGERIA,Africa,1181,M&A,Yes,State Grid Corporation of China,NA,M&A,No,NA,NA,http://www.geregupowerplc.org.ng,http://www.geregupowerplc.org.ng,,,,,
Gillespie Solar,20,In Operation,2015,Solar,AZ,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,,,,,,,
Glassmoor-2,12,In Operation,2014,Wind,Cambridgeshire,UK,Europe/Central Asia,0,M&A,Yes,China General Nuclear Power Group,80,M&A,No,NA,NA,Platts,,,,,,
Gomoa Onyadze,20,In Operation,2018,Solar,Central,GHANA,Africa,0,Greenfield,Yes,Fuxing Xiaocheng,100,Greenfield,No,NA,NA,,,,,,,
Good Light,10,In Operation,2014,Solar,ON,CANADA,North America,0,Greenfield,Yes,Canadian Solar,100,Greenfield,No,NA,NA,,,,,,,
Gouina,140,Under Construction,2020,Hydropower,Kayes,MALI,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://ec.europa.eu/europeaid/blending/gouina-hydro-power-project-ghpp_en,,http://pipes.ecowapp.org/en/project/under-implementation/140-mw-omvs-gouina-hydropower-project-0,,,,
Grand Poubara,160,In Operation,2013,Hydropower,Haut-Ogooue,GABON,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://eng.sinohydro.com/index.php?m=content&c=index&a=show&catid=125&id=176,,http://www.mofcom.gov.cn/aarticle/i/jyjl/k/201204/20120408052605.html,,,,
Green Rigg,36,In Operation,2014,Wind,Northumberland,UK,Europe/Central Asia,0,M&A,Yes,China General Nuclear Power Group,80,M&A,No,NA,NA,Platts,,,,,,
Gribo-Popoli,112,Under Construction,2021,Hydropower,Bas-Sassandra,COTE D'IVOIRE,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.guancha.cn/Project/2017_11_04_433513.shtml,,,,,,
Groix Offshore,24,Under Planning,Pending,Wind,Morbihan,FRANCE,Europe/Central Asia,0,Greenfield,Yes,China General Nuclear Power Group,Not found,Greenfield,No,NA,NA,http://eoliennes-groix-belle-ile.com/en/industrial-sector/,,,,,,
Gullen Range 1,166,In Operation,2011,Wind,NSW,AUSTRALIA,Oceania,0,M&A,Yes,Xinjiang Goldwind Science & Technology (Goldwind),25,M&A,No,NA,NA,"https://epuron.com.au/wind/gullen-range/ , http://www.goldwindaustralia.com/projects/operating/gullen-range-wind-farm/ , https://www.aussierenewables.com.au/directory/gullen-range-wind-farm-277.html , https://renewablesnow.com/news/goldwind-agrees-to-sell-1655-mw-aussie-wind-scheme-429587/",,,,,,
Gullen Range 2,10,In Operation,2017,Solar,NSW,AUSTRALIA,Oceania,0,Greenfield,Yes,Xinjiang Goldwind Science & Technology (Goldwind),100,Greenfield,No,NA,NA,,,,,,,
Gunma Aramaki,19,In Operation,2017,Solar,Gunma,JAPAN,East Asia,0,Greenfield,Yes,Canadian Solar,100,Greenfield,No,NA,NA,,,,,,,
Gwadar Port New,300,Under Planning,Pending,Coal,Balochistan,PAKISTAN,South Asia,1512,Greenfield,Yes,CHINA COMMUNICATION CONSTRUCTION CO LTD,Not found,Greenfield,No,NA,NA,"http://cpec.gov.pk/project-details/5 , http://www.xinhuanet.com/english/2019-11/05/c_138530508.htm",,,,,,
Hai Duong-2,1200,Under Planning,Pending,Coal,Hai Duong,VIETNAM,Southeast Asia,6049,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,"JAKS, China Power Engineering Consulting Group Co Ltd (CPECC)",https://www.sourcewatch.org/index.php/Hai_Duong_Thermal_Power_Plant,,,,,,
Hai Phong Thermal-Ii Phase I,600,In Operation,2011,Coal,Hai Phong,VIETNAM,Southeast Asia,3024,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://vn.mofcom.gov.cn/article/jmxw/200511/20051100914123.shtml,,,,,,
Hai Phong Thermal-Ii Phase Ii,600,In Operation,2014,Coal,Hai Phong,VIETNAM,Southeast Asia,3024,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://globalenergyobservatory.org/geoid/41199,,http://www.mofcom.gov.cn/aarticle/i/jyjl/j/200707/20070704858849.html,http://vietnamnews.vn/industries/159233/hai-phong-power-plant-deal-signed.html#T14qGvQ7RALjSE0Z.99,https://sekitan.jp/jbic/wp-content/uploads/2015/08/Facts-about-the-Hai-Phong-coal_FINAL.pdf,http://vietnamnews.vn/life-style/photography/166265/sharing-the-honour-05-07-2007.html#JLfQZ6hWLXU6r21j.99,http://www.mofcom.gov.cn/aarticle/i/jyjl/j/200707/20070704858849.html
Hambantota Rlng,400,Under Planning,Pending,Gas,Southern,SRI LANKA,South Asia,1190,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.dailymirror.lk/article/Govt-to-set-up-LNG-power-plants-in-Hambantota-with-China-India-and-Japan-149775.html,,,,,,
Haripur Power,375,In Operation,2016,Gas,Dhaka,BANGLADESH,South Asia,1116,M&A,Yes,China General Nuclear Power Group,55,M&A,No,NA,NA,http://globalenergyobservatory.org/geoid/40456,http://globalenergyobservatory.org/geoid/40456,,,,,
Haroonabad Rental,16,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,48,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
Hassyan Coal 1,600,Under Construction,2020,Coal,Dubai,UNITED ARAB EMIRATES,Middle East,4015,Greenfield,Yes,Harbin Electric,100,Greenfield,No,NA,NA,"http://www.xinhuanet.com/finance/2015-10/18/c_128329972.htm , https://www.power-technology.com/projects/hassyan-clean-coal-project-dubai/",,,,,,
Hassyan Coal 2,600,Under Construction,2021,Coal,Dubai,UNITED ARAB EMIRATES,Middle East,4015,Greenfield,Yes,Harbin Electric,100,Greenfield,No,NA,NA,"http://www.xinhuanet.com/finance/2015-10/18/c_128329972.htm , https://www.power-technology.com/projects/hassyan-clean-coal-project-dubai/",,,,,,
Hassyan Coal 3,600,Under Construction,2022,Coal,Dubai,UNITED ARAB EMIRATES,Middle East,4015,Greenfield,Yes,Harbin Electric,100,Greenfield,No,NA,NA,"http://www.xinhuanet.com/finance/2015-10/18/c_128329972.htm , https://www.power-technology.com/projects/hassyan-clean-coal-project-dubai/",,,,,,
Hassyan Coal 4,600,Under Construction,2023,Coal,Dubai,UNITED ARAB EMIRATES,Middle East,4015,Greenfield,Yes,Harbin Electric,100,Greenfield,No,NA,NA,"http://www.xinhuanet.com/finance/2015-10/18/c_128329972.htm , https://www.power-technology.com/projects/hassyan-clean-coal-project-dubai/",,,,,,
Hatgyi,1360,Under Planning,Pending,Hydropower,Kayin,MYANMAR,Southeast Asia,0,Greenfield,Yes,PowerChina,Not found,Greenfield,No,NA,NA,https://en.wikipedia.org/wiki/Hatgyi_Dam,,,,,,
Haughton Solar,100,Under Construction,2019,Solar,QLD,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,100,Greenfield,No,NA,NA,"http://www.pacifichydro.com.au/files/2019/05/Haughton-Solar-Farm-Project-Information.pdf , http://www.pacifichydro.com.au/english/projects/construction/haughton-solar-farm/",,,,,,
Hinkley Point-C,3540,Under Construction,2025,Nuclear,Somerset,UK,Europe/Central Asia,0,FDI + Policy bank,Yes,China General Nuclear Power Group,33,Greenfield,Yes,CDB,"Government, Engro Powergen, Thal Limited, Hub Power Company, Habib Bank Limited, and China Machinery Engineering Corporation","http://www.chinanews.com/cj/2017/08-26/8314362.shtml , https://en.wikipedia.org/wiki/Hinkley_Point_C_nuclear_power_station",,,,,,
Horus Solar Ags,95,Under Planning,Pending,Solar,AGS,MEXICO,LAC,0,Greenfield,Yes,Canadian Solar,Not found,Greenfield,No,NA,NA,https://www.power-technology.com/news/canadian-solar-mexico/,,,,,,
Hulhumale' Wind,50,Under Planning,Pending,Wind,Kaafu,MALDIVES,Southeast Asia,0,Greenfield,Yes,XIANGTAN ELECTRIC MANUFACTURE CORP,Not found,Greenfield,No,NA,NA,https://renewablesnow.com/news/chinese-xemc-to-supply-50-mw-of-wind-turbines-to-maldives-report-137593/,,,,,,
Hwange-Iii,600,Under Construction,2023,Coal,Matabeleland North,ZIMBABWE,Africa,4015,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.chronicle.co.zw/hwange-power-station-expansion-contractor-on-site/,,,,,,
Hydro-Mekin,15,In Operation,2018,Hydropower,Sud,CAMEROON,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://ejatlas.org/conflict/mekin-hydroelectric-dam,,,,,,
Icaraizinho,55,In Operation,2017,Wind,CE,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,http://www.grandesconstrucoes.com.br/Conteudo/Exibir/ceara-brazils-wind-power-powerhouse,http://www.grandesconstrucoes.com.br/Conteudo/Exibir/ceara-brazils-wind-power-powerhouse,,,,,
Ilha Solteira,3444,In Operation,2015,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,67,M&A,No,NA,NA,"https://www.ctgbr.com.br/en/portfolio-item/hydropower/ , https://www.ctgbr.com.br/en/ctg-brasil-takes-over-the-operation-of-the-ilha-solteira-and-jupia-hydropower-plants/, https://www.reuters.com/article/brazil-power-auction-idUSL1N13K0Q020151125",,,,,,
Ilza,54,In Operation,2016,Wind,Mazowieckie,POLAND,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,49,M&A,No,NA,NA,https://afaplan.com/projecto?id=69&lang=en,https://afaplan.com/projecto?id=69&lang=en,,,,,
Imboulou,120,In Operation,2011,Hydropower,Pool,CONGO,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://cg.mofcom.gov.cn/aarticle/jmxw/200304/20030400079454.html,,http://globalenergyobservatory.org/geoid/42502,https://en.wikipedia.org/wiki/Imboulou_Dam,,,
Indonesia Morowali Industrial Park Captive Coal-Fired Power Plant ,300,Under Construction,2019,Coal,Central Sulawesi,INDONESIA,Southeast Asia,1512,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,"Guangdong Guangxin Holdings Group,",https://tradefinanceanalytics.com/data/transaction/50640/guangdong-guangxin-holdings-group,,http://bit.ly/1HL2Vzp,,,,
Indramayu,990,In Operation,2011,Coal,West Java,INDONESIA,Southeast Asia,4990,Policy bank only,No,NA,NA,NA,Yes,CDB,PLN (Perusahaan Listrik Negara),NRDC SOURCE: http://www.edf.org/sites/default/files/9584_coal-plants-spreadsheet.xls,,http://www.mofcom.gov.cn/aarticle/i/jyjl/k/201112/20111207889444.html,http://www.lzfrp.com/news_content.asp?articleid=430,,,
Ingula,1332,In Operation,2016,Hydropower,KwaZulu-Natal,SOUTH AFRICA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,CDB,Eskom,,,,,,,
Inishative Wind,12,In Operation,2017,Wind,County Tyrone,UK,Europe/Central Asia,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,https://wallstreetcn.com/articles/280345,,,,,,
IS-42,92,In Operation,2017,Solar,NC,USA,North America,0,Greenfield,Yes,Canadian Solar,NA,Greenfield,No,NA,NA,"https://recurrentenergy.com/press-release/canadian-solar-subsidiary-recurrent-energy-announces-commercial-operation-71-mw-north-carolina-solar-project/ , https://www.prnewswire.com/news-releases/canadian-solar-subsidiary-recurrent-energy-closes-north-carolina-project-sale-to-falck-renewables-300566012.html",,,,,,
Isimba Falls,183,In Operation,2019,Hydropower,Kamuli,UGANDA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://uegcl.com/business-operations/projects/isimba-hydro-power.html,,,,,,
Jambi Bungo,400,Under Planning,Pending,Coal,Jambi,INDONESIA,Southeast Asia,2016,Policy bank only,No,NA,NA,NA,Yes,CDB,Sinar Mas Group,"http://economictimes.indiatimes.com/news/international/business/indonesias-sinarmas-to-invest-600-700-million-in-2-coal-plants-sources/articleshow/46983781.cms http://www.reuters.com/article/2015/04/20/indonesia-wef-sinarmas-idUSL4N0XH09620150420 http://thejakartaglobe.beritasatu.com/business/sinar-mas-inks-loan-deal-chinese-banks
 http://www.sourcewatch.org/index.php/Sinar_Mas_Jambi_power_station",,,,,,
Jatigede,110,Under Construction,2019,Hydropower,West Java,INDONESIA,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://eprf.probeinternational.org/node/8501,,http://www.automatedtrader.net/real-time-dow-jones/3170/-ecuador-negotiating-1-billion-loan-with-china--backed-by-oil-sales,http://www.xinhuanet.com/english/2018-05/07/c_137160592.htm,http://www.powerfoo.com/news/sdkx/sdkx2/2019/424/194241414639F5E29557BF34DF6C7K.html,http://pr.powerchina.cn/g163/s920/t7292.aspx,
Jedrychowice Zgor,54,In Operation,2013,Wind,Dolnoslaskie,POLAND,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,49,M&A,No,NA,NA,http://www.mofcom.gov.cn/article/i/jyjl/m/201601/20160101228309.shtml,,,,,,
Jerada,350,In Operation,2017,Coal,L'Oriental,MOROCCO,Africa,2342,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Jerada power station extension,https://uk.reuters.com/article/morocco-power-china/moroccos-onee-gets-300-mln-loan-from-chinas-exim-bank-idUKL6N0RP2E120140924,,,,,,
Jesus Rabi Biomass Power Plant ,20,Under Construction,2019,Biomass,,CUBA,LAC,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,,white paper on green finance the ex-im bank of China,,,,,,
Jhampir Wind Farm,99,In Operation,2017,Wind,Sindh,PAKISTAN,South Asia,0,Policy bank only,No,NA,NA,NA,Yes,CDB,UEP Wind Power (Private) Limited,http://www.uegl.com.hk/en/newsDetail?nid=13,,,,,,
Jimah,1505,In Operation,2016,Coal,Negeri Sembilan,MALAYSIA,Southeast Asia,7585,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,"https://www.reuters.com/article/us-malaysia-1mdb/malaysias-1mdb-sells-power-assets-to-china-firm-for-2-3-billion-idUSKBN0TC0PT20151123,  http://www.edra.energy/overview, http://www.edra.energy/portfolio-of-assets , http://www.edra.energy/malaysia",,,,,,
Jinnah Barrage,96,In Operation,2012,Hydropower,Punjab,PAKISTAN,South Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://china.aiddata.org/projects/35277,,,,,,
Jorge Cepernic,1140,Under Construction,2019,Hydropower,Santa Cruz,ARGENTINA,LAC,0,Policy bank only,No,NA,NA,NA,Yes,CDB,Government,http://www.laht.com/article.asp?ArticleId=2344453&CategoryId=14093,,,,,,
Juremas,21,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Kabirwala,157,In Operation,2016,Gas,Punjab,PAKISTAN,South Asia,467,M&A,Yes,China General Nuclear Power Group,23,M&A,No,NA,NA,https://www.fauji.org.pk/fauji/businesses/associated-companies/fauji-kabirwala-power-company-limited,https://www.fauji.org.pk/fauji/businesses/associated-companies/fauji-kabirwala-power-company-limited,,,,,
Kafue Gorge Lower,750,Under Construction,2020,Hydropower,Southern,ZAMBIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.power-technology.com/projects/kafue-gorge-lower-kgl-power-station/,,,,,,
Kaiser Permanente (Ca),10,In Operation,2015,Solar,CA,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,,,,,,,
Kaleta,240,In Operation,2015,Hydropower,Dubreka,GUINEA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.hydroworld.com/articles/2015/09/guinea-increases-generating-capacity-with-us-526-million-240-mw-kaleta-hydroelectric-facility.html,,,,,,
Kamchay-1,180,In Operation,2012,Hydropower,Kampot,CAMBODIA,Southeast Asia,0,FDI + Policy bank,Yes,PowerChina,100,Greenfield,Yes,Ex-Im Bank,Government,"http://en.powerchina.cn/2018-09/25/content_37099724.htm , http://globalenergyobservatory.org/geoid/43061",,,,,,
Kamchay-2,10,In Operation,2009,Hydropower,Kampot,CAMBODIA,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.cpppc.org/zh/ydylal/5213.jhtml,,,,,,
Kamchay-3,4,In Operation,2011,Hydropower,Kampot,CAMBODIA,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.cpppc.org/zh/ydylal/5213.jhtml,,,,,,
Kammerer,19,In Operation,2015,Solar,CA,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,,,,,,,
Kammwamba,300,Under Planning,Pending,Coal,Southern,MALAWI,Africa,2007,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.nyasatimes.com/exim-bank-china-finance-malawi-coal-fired-power-plant-project/,,,,,,
Karachi Coal,660,Under Planning,Pending,Coal,Sindh,PAKISTAN,South Asia,3327,Greenfield,Yes,Harbin Electric,Not found,Greenfield,No,NA,NA,"https://www.worldcoal.com/power/14032014/ke_to_build_coal_power_plant_617/ , https://asianetpakistan.com/business-news/general-business-news/167317/k-electric-to-set-up-pakistans-first-ever-660-mw-green-field-coal-fired-plant-with-harbin-electric/ , https://www.samaa.tv/economy/2014/03/k-electric-to-set-up-660-mw-coal-fired-plant/",,,,,,
Karachi Coastal,2200,Under Construction,2022,Nuclear,Sindh,PAKISTAN,South Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.skyscrapercity.com/showthread.php?t=1696480,,,,,,
Kariba North,360,In Operation,2013,Hydropower,Southern,ZAMBIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.engineeringnews.co.za/print-version/kariba-north-bank-extension-project-zambia-2009-11-27,,,,,,
Kariba South,308,In Operation,2017,Hydropower,Mashonaland West,ZIMBABWE,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,,,,,,,
Karlovo Solar,5,In Operation,2011,Solar,Plovdiv,BULGARIA,Europe/Central Asia,0,FDI + Policy bank,Yes,Hareon Solar,100,Greenfield,Yes,CDB,HareonAlpsHoldingAG(Bulgaria) 海润广伏(保加利亚),https://en.wikipedia.org/wiki/Pobeda_Solar_Park,,http://www.ne21.com/news/show-38172.html,,,,
Karot-Jhelum,720,Under Construction,2022,Hydropower,Punjab,PAKISTAN,South Asia,0,FDI + Policy bank,Yes,China Three Gorges Corporation,93,Greenfield,Yes,CDB-Ex-Im Cofinancing,Government,"http://karotpower.com/Projects/About-Project , https://en.wikipedia.org/wiki/Karot_Hydropower_Project , https://www.power-technology.com/projects/karot-hydropower-project-jhelum-river/ , https://www.beltroad-initiative.com/bri-factsheet-series-karot-hydropower-plant/",,,,,,
Karuma Falls,600,Under Construction,2019,Hydropower,Kyandongo,UGANDA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&uact=8&ved=0ahUKEwjbzom38LXXAhUj5oMKHfaMAoUQFgg7MAM&url=http%3A%2F%2F8j.powerchina.cn%2FUploadFiles%2FNews%2F201751783851669.doc&usg=AOvVaw3Xk86YlgRzEbx-UxvuxEeT,,https://www.monitor.co.ug/News/National/Parliament-okays-billion-loan-Karuma/-/688334/2665216/-/66g2uj/-/index.html ,,,,
Kashagan Kut 1,135,In Operation,2010,Gas,Atyrau,KAZAKHSTAN,Europe/Central Asia,402,Greenfield,Yes,China National Petroleum Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Kashagan Kut 2,135,In Operation,2010,Gas,Atyrau,KAZAKHSTAN,Europe/Central Asia,402,Greenfield,Yes,China National Petroleum Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Kashagan Pgp Gas,70,In Operation,2012,Gas,Atyrau,KAZAKHSTAN,Europe/Central Asia,208,Greenfield,Yes,China National Petroleum Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Kashagan Pgp Oil,16,In Operation,2012,Oil,Atyrau,KAZAKHSTAN,Europe/Central Asia,56,Greenfield,Yes,China National Petroleum Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Kayan-3,1200,Under Planning,Pending,Hydropower,North Kalimantan,INDONESIA,Southeast Asia,0,Greenfield,Yes,CHINA POWER INVESTMENT CORP,Not found,Greenfield,No,NA,NA,https://www.rambuenergy.com/2018/04/kayan-hydropower-gets-major-boost-after-signing-deal-with-china-firms/,,,,,,
Kendari-3 Dssa,100,Under Construction,2019,Coal,Southeast Sulawesi,INDONESIA,Southeast Asia,504,Policy bank only,No,NA,NA,NA,Yes,CDB,PT Dian Swastatika Sentosa Tbk,"http://economictimes.indiatimes.com/news/international/business/indonesias-sinarmas-to-invest-600-700-million-in-2-coal-plants-sources/articleshow/46983781.cms http://www.reuters.com/article/2015/04/20/indonesia-wef-sinarmas-idUSL4N0XH09620150420 http://thejakartaglobe.beritasatu.com/business/sinar-mas-inks-loan-deal-chinese-banks
 http://www.sourcewatch.org/index.php/Sinar_Mas_Jambi_power_station",,,,,,
Kentau Zhenfa Solar,30,Under Planning,Pending,Solar,South Kazakhstan,KAZAKHSTAN,Europe/Central Asia,0,Greenfield,Yes,JIANGSU ZHENFA HOLDINGS,Not found,Greenfield,No,NA,NA,https://astanatimes.com/2018/03/chinese-company-to-build-wind-and-solar-power-stations-in-kentau/,,,,,,
Kentau Zhenfa Wind,50,Under Planning,Pending,Wind,South Kazakhstan,KAZAKHSTAN,Europe/Central Asia,0,Greenfield,Yes,JIANGSU ZHENFA HOLDINGS,Not found,Greenfield,No,NA,NA,https://astanatimes.com/2018/03/chinese-company-to-build-wind-and-solar-power-stations-in-kentau/,,,,,,
Kesc Site 1,35,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,104,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://globalenergyobservatory.org/geoid/41116,http://globalenergyobservatory.org/geoid/41116,,,,,
Kesc Site 2,59,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,175,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://globalenergyobservatory.org/geoid/41116,http://globalenergyobservatory.org/geoid/41116,,,,,
Khador,24,In Operation,2006,Hydropower,Kakheti,GEORGIA,Europe/Central Asia,0,Greenfield,Yes,State Grid Corporation of China,NA,Greenfield,No,NA,NA,Platts,,,,,,
King Power,1380,Under Planning,Pending,Gas,TX,USA,North America,3532,Greenfield,Yes,China Huaneng Group,Not found,Greenfield,No,NA,NA,"https://pitchbook.com/profiles/company/124999-39 , https://www.reuters.com/article/utilities-texas/update-2-texas-power-surplus-falls-despite-higher-price-caps-idUSL1E8NA47N20121210",,,,,,
Kirirom-I,11,In Operation,2002,Hydropower,Kampong Speu,CAMBODIA,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://en.people.cn/200205/29/eng20020529_96739.shtml,,http://china.aiddata.org/projects/32080,,,,
Kirirom-Ii,12,In Operation,2002,Hydropower,Kampong Speu,CAMBODIA,Southeast Asia,0,Greenfield,Yes,CETIC,100,Greenfield,No,NA,NA,,,,,,,
Kirirom-Iii,18,In Operation,2013,Hydropower,Koh Kong,CAMBODIA,Southeast Asia,0,FDI + Policy bank,Yes,State Grid Corporation of China,NA,Greenfield,Yes,Ex-Im Bank,Government,Platts,http://kh.china-embassy.org/chn/ljjpz/tzjpz/t407644.htm,http://china.aiddata.org/projects/32108,,,,
Kohala-Jhelum,1100,Under Planning,Pending,Hydropower,AJK,PAKISTAN,South Asia,0,Greenfield,Yes,China Three Gorges Corporation,Not found,Greenfield,No,NA,NA,"https://tribune.com.pk/story/2149706/2-kohala-hydropower-project-hits-snags/ , http://cpec.gov.pk/project-details/23",,,,,,
Kolarovo,6,In Operation,2012,Solar,Blagoevgrad,BULGARIA,Europe/Central Asia,0,Greenfield,Yes,Hareon Solar,100,Greenfield,No,NA,NA,,,,,,,
