Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Asahan-I,185,In Operation,2010,Hydropower,North Sulawesi,INDONESIA,Southeast Asia,0,Greenfield,Yes,China Huadian Corporation,NA,Greenfield,No,NA,NA,"http://ppi.worldbank.org/snapshots/project/asahan-i-hydropower-plant-4229 , http://www.asean-china-center.org/english/2010-08/30/c_13469626.htm",,,,,,
Aspartia Solar,18,In Operation,2016,Solar,Cumbria,UK,Europe/Central Asia,0,M&A,Yes,Panda Green Energy Group,100,M&A,No,NA,NA,,,,,,,
Astro Boogeo-Seom,6,In Operation,2011,Solar,Gangwon-do,SOUTH KOREA,East Asia,0,Greenfield,Yes,Chint,100,Greenfield,No,NA,NA,,,,,,,
Astro Jeju,17,In Operation,2017,Solar,Jeju-do,SOUTH KOREA,East Asia,0,Greenfield,Yes,Chint,100,Greenfield,No,NA,NA,,,,,,,
Astro Osmaniye,19,In Operation,2017,Solar,Osmaniye,TURKEY,Europe/Central Asia,0,Greenfield,Yes,Chint,100,Greenfield,No,NA,NA,,,,,,,
Atlantica,120,In Operation,2017,Wind,RS,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://renewablesnow.com/news/brazils-cpfl-renovaveis-allowed-to-fully-launch-120-mw-atlantica-wind-complex-411626/,https://renewablesnow.com/news/brazils-cpfl-renovaveis-allowed-to-fully-launch-120-mw-atlantica-wind-complex-411626/,,,,,
Attarat Um Ghudran,470,Under Construction,2020,Oil,Karak,JORDAN,Middle East,2146,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Attarat Power Company (APCO),https://usa.chinadaily.com.cn/business/2017-03/17/content_28591301.htm,,,,,,
Aysha,120,Under Planning,Pending,Wind,Somali,ETHIOPIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://news.bjx.com.cn/html/20170516/825693.shtml,,http://www.powerchina.cn/art/2016/4/11/art_23_164080.html,http://newenergy.in-en.com/html/newenergy-2322248.shtml,http://www.baju.com.cn/web/News/NewsShow.asp?ID=26594,,
Azad-Pattan,640,Under Planning,Pending,Hydropower,AJK,PAKISTAN,South Asia,0,Greenfield,Yes,China Gezhouba,80,Greenfield,No,NA,NA,"http://www.azadpattanhpp.com/shareholders.php , http://www.azadpattanhpp.com/history.php , https://en.wikipedia.org/wiki/Azad_Pattan_Hydropower_Project",,,,,,
Baixa Do Feijao,120,In Operation,2016,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,100,Greenfield,No,NA,NA,"https://www.ctgbr.com.br/en/wind-power-baixa-do-feijao-starts-commercial-operation/,https://www.ctgbr.com.br/en/portfolio-item/wind-power/",,,,,,
Bajio,600,In Operation,2011,Gas,GTO,MEXICO,LAC,1464,M&A,Yes,China Huaneng Group,50,M&A,No,NA,NA,http://globalenergyobservatory.org/geoid/2225,http://globalenergyobservatory.org/geoid/2225,,,,,
Baldin,45,In Operation,2017,Biomass,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Ballybay,14,In Operation,2017,Wind,County Kilkenny,IRELAND,Europe/Central Asia,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,https://wallstreetcn.com/articles/280337,,,,,,
Ballywater,42,In Operation,2005,Wind,County Wexford,IRELAND,Europe/Central Asia,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,https://wallstreetcn.com/articles/280338,,,,,,
Balzac Ng Plant,120,In Operation,2001,Gas,AB,CANADA,North America,293,Greenfield,Yes,China National Offshore Oil Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Bangko Tengah (SS-8) No 1-2,1240,Under Construction,2022,Coal,South Sumatra,INDONESIA,Southeast Asia,6251,FDI + Policy bank,Yes,China Huadian Corporation,55,Greenfield,Yes,CDB-Ex-Im Cofinancing,Government,"https://www.power-eng.com/articles/2005/09/indonesian-coal-producer-plans-two-new-power-plants.html , https://www.sourcewatch.org/index.php/Bangko_Tengah_(SS-8)_power_station",,,,,,
Banjul New,60,Under Planning,Pending,Oil,Banjul,GAMBIA,Africa,274,Greenfield,Yes,PowerChina,Not found,Greenfield,No,NA,NA,https://allafrica.com/stories/201704240830.html,,,,,,
Banten Suralaya,625,In Operation,2011,Coal,Banten,INDONESIA,Southeast Asia,3151,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,PLN Indonesia,http://www.thejakartapost.com/news/2009/02/25/pln-secures-part-loans-needed-10000-mw-program.html,,,,,,
Barchin,28,In Operation,2014,Wind,Cuenca,SPAIN,Europe/Central Asia,0,M&A,Yes,China Huadian Corporation,100,M&A,No,NA,NA,,,,,,,
Barra Da Paciencia,23,In Operation,2017,Hydropower,MG,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Barren Ridge,60,In Operation,2015,Solar,CA,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,https://recurrentenergy.com/portfolio/barren-ridge/,https://recurrentenergy.com/portfolio/barren-ridge/,,,,,
Barroso Ene 1,18,In Operation,2013,Wind,Vila Real,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Barroso Ene 2,10,In Operation,2013,Wind,Vila Real,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Beatrice Smith Bank,588,Under Construction,2019,Wind,Highland,UK,Europe/Central Asia,0,Greenfield,Yes,State Development and Investment,25,Greenfield,No,NA,NA,"https://www.power-technology.com/projects/beatrice-offshore-wind-farm/ , https://www.power-technology.com/news/newsconstruction-commence-beatrice-offshore-windfarm-scotland-4902011",,,,,,
Beaver Run Solar,10,In Operation,2015,Solar,NJ,USA,North America,0,Greenfield,Yes,LDK Solar,100,Greenfield,No,NA,NA,,,,,,,
Bengkulu Coal,200,In Operation,2019,Coal,Bengkulu,INDONESIA,Southeast Asia,1008,FDI + Policy bank,Yes,PowerChina,70,Greenfield,Yes,CDB-Ex-Im Cofinancing,PT Intraco Penta and PowerChina,"https://www.sourcewatch.org/index.php/Bengkulu_power_station , https://ppi.worldbank.org/snapshots/project/bengkulu-coal-fired-power-plant-9022",,,,,,
Berezovskaya Brest,343,In Operation,2014,Gas,Brest,BELARUS,Europe/Central Asia,817,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://cnakk.by/index.php?case=archive&act=show&aid=61,,http://en.cmec.com/ywly/gcct/dlnyyw/hlfdz/201612/t20161227_133790.html,,,,
Bin Qasim 1 Oil,5,In Operation,2018,Oil,Sindh,PAKISTAN,South Asia,19,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
Bin Qasim 2 Gas,560,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,1666,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
Bin Qasim-1 No 1,210,In Operation,2018,Gas,Sindh,PAKISTAN,South Asia,625,M&A,Yes,State Power Investment Corporation,66,M&A,No,NA,NA,http://www.sohu.com/a/196179709_771896,,,,,,
