Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO₂e‍),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Afghanistan,1990,15.2128,15.2128,2.915,9.3116,2.9841,0.0022,2.915,9.3116,2.9841,3.774,0.0571,7.3427,4.039,0,,,,,,1.2422
Afghanistan,1991,15.2864,15.2864,2.6844,9.5162,3.0822,0.0036,2.6844,9.5162,3.0822,3.3768,0.0586,7.631,4.22,0,,,,,,1.0209
Afghanistan,1992,14.0105,14.0105,1.3923,9.5715,3.0417,0.005,1.3923,9.5715,3.0417,1.9143,0.0637,7.6314,4.4011,0,,,,,,0.6026
Afghanistan,1993,14.0281,14.0281,1.3227,9.6099,3.0891,0.0065,1.3227,9.6099,3.0891,1.6781,0.0651,7.7027,4.5822,0,,,,,,0.414
Afghanistan,1994,13.9854,13.9854,1.2677,9.789,2.9207,0.0079,1.2677,9.789,2.9207,1.4565,0.0665,7.6991,4.7633,0,,,,,,0.2473
Afghanistan,1995,14.3349,14.3349,1.2201,10.0578,3.0477,0.0093,1.2201,10.0578,3.0477,1.2422,0.068,8.0804,4.9444,0,,,,,,0.0807
Afghanistan,1996,15.3232,15.3232,1.1542,10.8648,3.287,0.0173,1.1542,10.8648,3.287,1.1795,0.0759,8.9693,5.0984,0,,,,,,0.084
Afghanistan,1997,16.2845,16.2845,1.0699,11.5781,3.6113,0.0253,1.0699,11.5781,3.6113,1.0986,0.0839,9.8496,5.2525,0,,,,,,0.0873
Afghanistan,1998,17.1244,17.1244,1.0149,12.1552,3.9211,0.0332,1.0149,12.1552,3.9211,1.0469,0.0918,10.5792,5.4065,0,,,,,,0.0906
Afghanistan,1999,18.0006,18.0006,0.7988,12.9502,4.2104,0.0412,0.7988,12.9502,4.2104,0.8341,0.0998,11.5061,5.5606,0,,,,,,0.0939
Afghanistan,2000,16.496,16.496,0.7511,12.0279,3.6678,0.0491,0.7511,12.0279,3.6678,0.8227,0.0748,9.8839,5.7146,0,,,,,,0.0973
Afghanistan,2001,15.2094,15.2094,0.7951,11.0993,3.2506,0.0644,0.7951,11.0993,3.2506,0.8504,0.0901,8.3735,5.8954,0,,,,,,0.081
Afghanistan,2002,17.6991,17.6991,1.0699,12.7673,3.7821,0.0798,1.0699,12.7673,3.7821,1.1053,0.1091,10.4085,6.0762,0,,,,,,0.0647
Afghanistan,2003,18.4304,18.4304,1.1945,13.1563,3.9847,0.0951,1.1945,13.1563,3.9847,1.2063,0.1317,10.8355,6.257,0,,,,,,0.0485
Afghanistan,2004,18.1513,18.1513,0.949,13.1919,3.9001,0.1104,0.949,13.1919,3.9001,0.9445,0.147,10.622,6.4378,0,,,,,,0.0322
Afghanistan,2005,18.9847,18.9847,1.3264,13.4624,4.0702,0.1257,1.3264,13.4624,4.0702,1.313,0.155,10.8981,6.6186,0,,,,,,0.0159
Afghanistan,2006,19.6229,19.6229,1.6525,13.7765,4.0485,0.1455,1.6525,13.7765,4.0485,1.6432,0.1712,10.9935,6.8151,0,,,,,,0.0164
Afghanistan,2007,20.3989,20.3989,2.268,14.0914,3.8742,0.1653,2.268,14.0914,3.8742,2.2702,0.18,10.9372,7.0116,0,,,,,,0.0168
Afghanistan,2008,23.63,23.63,4.2026,15.1111,4.1311,0.1852,4.2026,15.1111,4.1311,4.2015,0.2035,12.0169,7.2081,0,,,,,,0.0172
Afghanistan,2009,26.9429,26.9429,6.7637,15.4678,4.5063,0.205,6.7637,15.4678,4.5063,6.7668,0.2196,12.5518,7.4047,0,,,,,,0.0177
Afghanistan,2010,30.6296,30.6296,8.4528,16.9688,4.9831,0.2248,8.4528,16.9688,4.9831,8.4526,0.2431,14.3326,7.6012,0,,,,,,0.0181
Afghanistan,2011,34.713,34.713,12.2304,17.1466,5.0859,0.2501,12.2304,17.1466,5.0859,12.2307,0.2684,14.4068,7.8071,0,,,,,,0.0186
Afghanistan,2012,34.5016,34.5016,10.7465,17.2218,6.2579,0.2754,10.7465,17.2218,6.2579,10.7473,0.2937,15.4476,8.013,0,,,,,,0.0191
Afghanistan,2013,33.1709,33.1709,10.0064,17.3401,5.5238,0.3006,10.0064,17.3401,5.5238,10.0003,0.3263,14.6254,8.219,0,,,,,,0.0195
Afghanistan,2014,33.3661,33.3661,9.8012,17.7504,5.4886,0.3259,9.8,17.75,5.49,9.7699,0.3772,14.7941,8.4249,0,,,,,,0.02
Albania,1990,11.692,11.8361,6.0437,4.1084,1.5363,0.0035,6.1649,4.1214,1.5463,7.4985,0.3884,3.2514,0.5536,0.1442,0,0.73,2.14,0.71,3.1355,0.783
Albania,1991,9.119,9.2631,4.1104,3.8281,1.1769,0.0035,4.2316,3.8411,1.1869,5.3231,0.3151,2.9221,0.5587,0.1442,0,0.54,1.41,0.53,2.1944,0.6387
Albania,1992,6.8705,7.0147,2.2389,3.5125,1.1157,0.0034,2.3601,3.5255,1.1257,3.3376,0.1135,2.8556,0.5638,0.1442,0,0.41,0.76,0.41,1.2732,0.4945
Albania,1993,6.597,6.7411,2.0789,3.3311,1.1836,0.0033,2.2001,3.3441,1.1936,2.8622,0.1134,3.0524,0.5689,0.1442,0,0.54,0.54,0.51,0.922,0.3502
Albania,1994,7.1382,7.2823,2.136,3.578,1.4209,0.0033,2.2572,3.591,1.4309,2.6515,0.0657,3.847,0.574,0.1442,0,0.61,0.46,0.63,0.6908,0.2606
Albania,1995,6.6947,6.8388,1.9489,3.331,1.4115,0.0032,2.0701,3.344,1.4215,2.1013,0.1133,3.901,0.5791,0.1442,0,0.4,0.49,0.63,0.5197,0.0617
Albania,1996,6.4076,6.5404,1.9626,3.1722,1.269,0.0038,2.0833,3.1792,1.274,2.1041,0.1175,3.6044,0.5816,0.1328,0,0.33,0.46,0.62,0.6425,0.0516
Albania,1997,5.6799,5.8307,1.4813,2.9861,1.2082,0.0044,1.602,3.0031,1.2212,1.6668,0.0668,3.3622,0.5841,0.1508,0,0.32,0.24,0.49,0.5753,0.0415
Albania,1998,5.9166,6.0535,1.8003,2.8541,1.2571,0.005,1.9213,2.8631,1.2641,1.9896,0.0564,3.284,0.5866,0.137,0,0.33,0.4,0.74,0.4881,0.0315
Albania,1999,7.0848,7.2176,2.9713,2.8975,1.2105,0.0055,3.0921,2.9045,1.2155,3.1423,0.068,3.2854,0.5891,0.1328,0.11,0.29,0.49,1.4,0.9509,0.0214
Albania,2000,7.3741,7.5654,3.1679,2.9218,1.2782,0.0061,3.2893,2.9608,1.3092,3.2951,0.1052,3.3822,0.5916,0.1913,0.12,0.38,0.47,1.47,0.9637,0.0114
Albania,2001,7.3494,8.2402,3.22,2.8803,1.2411,0.008,4.1098,2.8813,1.2411,3.4472,0.0192,3.2884,0.5946,0.8908,0.13,0.35,0.54,1.54,1.0112,0.0161
Albania,2002,7.9868,8.8758,3.75,2.8338,1.3931,0.0099,4.639,2.8338,1.3931,3.9894,0.021,3.3787,0.5976,0.889,0.13,0.38,0.43,1.77,1.3887,0.0207
Albania,2003,8.4026,9.2965,4.1095,2.8716,1.4098,0.0118,5.0003,2.8736,1.4108,4.0716,0.3124,3.4179,0.6007,0.8939,0.14,0.36,0.5,1.91,1.2661,0.0254
Albania,2004,8.4785,9.3674,4.2958,2.8013,1.3678,0.0136,5.1848,2.8013,1.3678,4.2737,0.3106,3.2904,0.6037,0.889,0.15,0.28,0.55,2.3,1.1136,0.0301
Albania,2005,8.2514,9.1407,4.0655,2.7975,1.3728,0.0155,4.9549,2.7975,1.3728,4.0959,0.2722,3.2765,0.6068,0.8894,0.18,0.3,0.45,2.37,0.9411,0.0348
Albania,2006,8.1501,7.9416,4.0501,2.766,1.3177,0.0163,3.8406,2.767,1.3177,4.0691,0.2876,3.1834,0.6101,-0.2085,0.14,0.26,0.68,1.92,1.1724,0.0367
Albania,2007,8.1888,8.1699,4.2233,2.6549,1.2935,0.0171,4.0254,2.7549,1.3725,4.0622,0.4716,3.0416,0.6133,-0.0189,0.06,0.33,0.64,2.1,0.9636,0.0386
Albania,2008,7.9577,7.7525,4.168,2.5346,1.2373,0.0178,3.9588,2.5366,1.2393,3.9954,0.487,2.8587,0.6166,-0.2052,0.08,0.28,0.5,2.28,0.8949,0.0405
Albania,2009,8.0308,7.8202,4.3233,2.4514,1.2376,0.0186,4.1127,2.4514,1.2376,4.0586,0.583,2.7693,0.6199,-0.2106,0.06,0.14,0.78,2.3,0.7962,0.0424
Albania,2010,8.3122,8.1012,4.5785,2.466,1.2483,0.0194,4.3675,2.466,1.2483,4.2217,0.679,2.7882,0.6232,-0.211,0.05,0.1,1.04,2.23,0.8075,0.0443
Albania,2011,8.7857,8.4483,5.0377,2.4589,1.2683,0.0208,4.6883,2.4659,1.2733,4.4381,0.9296,2.7912,0.6268,-0.3374,0.06,0.12,1.11,2.34,0.8134,0.0446
Albania,2012,8.3722,8.1148,4.5755,2.4955,1.2788,0.0222,4.2212,2.5495,1.3218,3.7845,1.1289,2.8284,0.6304,-0.2573,0.06,0.1,0.64,2.25,0.7494,0.045
Albania,2013,8.557,8.1993,4.7868,2.4909,1.2556,0.0237,4.4291,2.4909,1.2556,3.9508,1.1817,2.7904,0.634,-0.3577,0.12,0.05,0.58,2.45,0.8254,0.0454
Albania,2014,9.0365,8.6788,5.2155,2.5181,1.2777,0.0251,4.86,2.52,1.28,4.4372,1.1318,2.8298,0.6376,-0.3577,0.08,0.12,0.91,2.47,0.8914,0.0458
Algeria,1990,90.7337,91.7057,68.0497,18.3927,4.2642,0.0272,68.9297,18.4437,4.3052,75.7296,3.3689,7.3325,4.3028,0.972,2.47,23.09,5.67,15.8,6.8401,24.3195
Algeria,1991,90.1712,91.1432,67.1028,18.8063,4.2241,0.0381,67.9828,18.8573,4.2651,75.1615,3.3952,7.1065,4.5079,0.972,2.17,24.07,6.22,16.88,7.7929,20.1986
Algeria,1992,90.3222,91.2942,66.3337,19.5386,4.401,0.049,67.2137,19.5896,4.442,74.72,3.4729,7.4163,4.7129,0.972,2.15,24.06,6.31,16.8,8.0358,19.5242
Algeria,1993,98.361,99.333,73.6538,20.1554,4.492,0.0598,74.5338,20.2064,4.533,82.408,3.5102,7.5248,4.918,0.972,2.04,25.28,6.23,16.96,8.4886,25.4694
Algeria,1994,96.6891,97.6611,71.7335,20.5827,4.3022,0.0707,72.6135,20.6337,4.3432,81.0242,3.3791,7.1628,5.123,0.972,2.08,24.95,5.97,15.52,8.4315,26.1627
Algeria,1995,98.7464,99.7184,73.2722,21.1603,4.2323,0.0816,74.1522,21.2113,4.2733,82.5498,3.7975,7.0711,5.3281,0.972,2.15,25.86,6.26,15.11,8.3543,26.9655
Algeria,1996,99.5933,100.5643,71.6315,23.4754,4.3386,0.1477,72.5115,23.5254,4.3796,82.7749,3.6993,7.1603,5.9589,0.971,2.01,25.72,5.88,14.96,8.583,27.6219
Algeria,1997,103.2832,104.2302,73.083,25.7748,4.2116,0.2138,73.963,25.8118,4.2416,85.6342,4.0591,7.0003,6.5897,0.947,1.89,27.71,5.29,15.01,8.2617,29.3725
Algeria,1998,108.1765,109.1275,74.8145,28.2746,4.8074,0.28,75.6945,28.3136,4.8394,88.8688,4.3236,7.7636,7.2204,0.951,1.77,27.77,5.66,15.46,8.9204,31.0684
Algeria,1999,113.6734,114.6284,77.8316,30.7578,4.7379,0.3461,78.7116,30.7988,4.7719,93.5904,4.3866,7.8452,7.8512,0.955,1.79,29.3,6.05,16.47,9.3891,32.3813
Algeria,2000,117.0715,118.3185,78.9204,33.069,4.6699,0.4122,79.8004,33.271,4.8349,95.9844,4.849,7.7561,8.482,1.247,1.95,29.17,6.16,16.84,9.6278,34.1866
Algeria,2001,114.7477,115.2681,75.1238,34.2268,4.8487,0.5484,75.6372,34.2308,4.8517,93.1889,4.9751,7.9829,8.6008,0.5203,1.98,30.19,6.25,17.04,9.8394,29.8695
Algeria,2002,121.4828,122.0141,80.8207,35.282,4.6954,0.6847,81.3341,35.292,4.7034,99.5388,5.4492,7.7752,8.7197,0.5313,2.18,32.28,6.61,19.35,10.2209,31.0778
Algeria,2003,126.4091,126.9564,84.2678,36.4356,4.8847,0.821,84.7811,36.4546,4.8997,103.9869,5.5752,8.0085,8.8385,0.5473,1.89,32.52,7.01,21.75,11.0225,31.6843
Algeria,2004,129.7047,130.229,85.4509,37.7266,5.57,0.9572,85.9642,37.7326,5.575,105.1744,6.6979,8.8751,8.9573,0.5243,2.18,31.74,8.09,22.02,11.8641,31.4703
Algeria,2005,134.5421,135.1224,89.6826,38.8589,4.9071,1.0935,90.196,38.8959,4.9371,109.5095,7.7216,8.2348,9.0762,0.5803,2.35,32.59,8.21,24.15,12.8657,31.6938
Algeria,2006,140.7133,134.0706,94.5097,39.4431,5.2649,1.4955,87.7631,39.5001,5.3119,113.7966,9.0661,8.6615,9.1891,-6.6427,2.23,34.23,8.7,25.62,12.5666,32.6901
Algeria,2007,148.6758,142.2321,101.4079,40.0636,5.3067,1.8976,94.6612,40.2306,5.4427,120.5102,10.0552,8.8083,9.302,-6.4437,2.23,33.95,9.72,27.59,13.9874,35.2728
Algeria,2008,153.6934,147.0597,105.905,40.4988,4.99,2.2996,99.1584,40.5608,5.041,124.6579,11.2092,8.4114,9.4149,-6.6337,2.28,35.27,10.07,29.19,13.9683,36.1596
Algeria,2009,163.8497,157.103,114.1401,41.3014,5.7065,2.7016,107.3935,41.3014,5.7065,132.6315,12.2752,9.4151,9.5278,-6.7467,2.36,36.66,9.85,30.51,17.8092,37.8124
Algeria,2010,165.5905,158.8509,114.5345,42.0193,5.9331,3.1037,107.7878,42.0233,5.9361,133.248,12.8576,9.8441,9.6408,-6.7397,2.46,36.32,10.95,31.7,17.22,37.058
Algeria,2011,171.7491,171.4421,118.6349,43.5407,5.9965,3.5769,118.1949,43.6137,6.0565,138.6587,13.2856,10.0495,9.7553,-0.307,2.26,39.69,11.21,32.64,18.9879,36.1208
Algeria,2012,182.3343,182.1203,126.5932,45.2086,6.4823,4.0502,126.1532,45.3326,6.5843,147.8758,13.7649,10.8238,9.8698,-0.214,2.44,44.12,10.2,36.03,20.7558,36.77
Algeria,2013,187.5171,187.0881,129.8823,46.7329,6.3784,4.5235,129.4423,46.7389,6.3834,152.673,13.995,10.8648,9.9843,-0.429,2.55,43.76,10.13,37.39,23.0337,38.3493
Algeria,2014,202.0871,201.6851,140.6704,48.4261,7.9939,4.9967,140.23,48.45,8.01,163.4742,15.72,12.7941,10.0988,-0.402,2.15,47.73,10.25,43.37,22.0216,40.0926
Andorra,1990,0.4294,0.4099,0.4067,0.0218,0.0008,0,0.3872,0.0218,0.0008,0.4067,0,0,0.0227,-0.0195,,,,,,
Andorra,1991,0.4307,0.4113,0.4067,0.0232,0.0009,0,0.3872,0.0232,0.0009,0.4067,0,0,0.024,-0.0195,,,,,,
Andorra,1992,0.4321,0.4127,0.4067,0.0245,0.0009,0,0.3872,0.0245,0.0009,0.4067,0,0,0.0254,-0.0195,,,,,,
Andorra,1993,0.4371,0.4177,0.4104,0.0258,0.0009,0,0.3909,0.0258,0.0009,0.4104,0,0,0.0268,-0.0195,,,,,,
Andorra,1994,0.4348,0.4154,0.4067,0.0272,0.001,0,0.3872,0.0272,0.001,0.4067,0,0,0.0281,-0.0195,,,,,,
Andorra,1995,0.4545,0.4351,0.425,0.0285,0.001,0,0.4056,0.0285,0.001,0.425,0,0,0.0295,-0.0195,,,,,,
Andorra,1996,0.485,0.4655,0.4543,0.0296,0.001,0,0.4349,0.0296,0.001,0.4543,0,0,0.0306,-0.0195,,,,,,
Andorra,1997,0.4971,0.4776,0.4653,0.0307,0.001,0,0.4459,0.0307,0.001,0.4653,0,0,0.0317,-0.0195,,,,,,
Andorra,1998,0.5238,0.5044,0.491,0.0318,0.001,0,0.4715,0.0318,0.001,0.491,0,0,0.0329,-0.0195,,,,,,
Andorra,1999,0.5469,0.5275,0.513,0.0329,0.0011,0,0.4935,0.0329,0.0011,0.513,0,0,0.034,-0.0195,,,,,,
Andorra,2000,0.5591,0.5396,0.524,0.034,0.0011,0,0.5045,0.034,0.0011,0.524,0,0,0.0351,-0.0195,,,,,,
Andorra,2001,0.5604,0.5315,0.524,0.0354,0.0011,0,0.495,0.0354,0.0011,0.524,0,0,0.0365,-0.0289,,,,,,
Andorra,2002,0.5691,0.5402,0.5313,0.0367,0.0011,0,0.5024,0.0367,0.0011,0.5313,0,0,0.0379,-0.0289,,,,,,
Andorra,2003,0.5742,0.5453,0.5349,0.0381,0.0012,0,0.506,0.0381,0.0012,0.5349,0,0,0.0392,-0.0289,,,,,,
Andorra,2004,0.6012,0.5723,0.5606,0.0394,0.0012,0,0.5317,0.0394,0.0012,0.5606,0,0,0.0406,-0.0289,,,,,,
Andorra,2005,0.6172,0.5883,0.5752,0.0408,0.0012,0,0.5463,0.0408,0.0012,0.5752,0,0,0.042,-0.0289,,,,,,
Andorra,2006,0.5898,0.5508,0.5459,0.0426,0.0013,0,0.507,0.0426,0.0013,0.5459,0,0,0.0438,-0.0389,,,,,,
Andorra,2007,0.5843,0.5453,0.5386,0.0444,0.0013,0,0.4997,0.0444,0.0013,0.5386,0,0,0.0457,-0.0389,,,,,,
Andorra,2008,0.5861,0.5472,0.5386,0.0462,0.0013,0,0.4997,0.0462,0.0013,0.5386,0,0,0.0475,-0.0389,,,,,,
Andorra,2009,0.5659,0.527,0.5166,0.048,0.0013,0,0.4777,0.048,0.0013,0.5166,0,0,0.0493,-0.0389,,,,,,
Andorra,2010,0.5678,0.5288,0.5166,0.0498,0.0014,0,0.4777,0.0498,0.0014,0.5166,0,0,0.0511,-0.0389,,,,,,
Andorra,2011,0.5434,0.5217,0.491,0.0511,0.0014,0,0.4692,0.0511,0.0014,0.491,0,0,0.0525,-0.0218,,,,,,
Andorra,2012,0.5411,0.5194,0.4873,0.0524,0.0014,0,0.4656,0.0524,0.0014,0.4873,0,0,0.0538,-0.0218,,,,,,
Andorra,2013,0.5315,0.5097,0.4763,0.0538,0.0014,0,0.4546,0.0538,0.0014,0.4763,0,0,0.0551,-0.0218,,,,,,
Andorra,2014,0.5181,0.4964,0.4617,0.0551,0.0014,0,0.44,0.06,0,0.4617,0,0,0.0565,-0.0218,,,,,,
Angola,1990,52.2201,160.3155,6.3459,30.9534,14.9187,0.002,89.7303,50.7294,19.8537,25.0942,0.1303,26.4804,0.5152,108.0954,1.06,0.48,1.76,1.02,1.6042,20.23
Angola,1991,53.8142,161.9096,6.5453,32.307,14.9592,0.0026,89.9298,52.083,19.8942,26.5976,0.1308,26.5567,0.5291,108.0954,0.91,0.43,1.63,1.26,1.6573,21.6203
Angola,1992,55.0744,163.1699,6.3926,33.6688,15.0099,0.0031,89.777,53.4448,19.9449,27.7268,0.1533,26.6513,0.543,108.0954,0.83,0.37,1.71,1.19,1.6104,22.8464
Angola,1993,56.7951,164.8905,6.9158,34.917,14.9586,0.0036,90.3002,54.693,19.8936,29.5795,0.1282,26.5303,0.557,108.0954,0.93,0.31,2.19,1.21,1.5235,24.346
Angola,1994,57.8733,165.9687,6.708,36.2504,14.9107,0.0042,90.0924,56.0264,19.8457,30.6793,0.1251,26.498,0.5709,108.0954,1.34,0.38,1.63,1.54,1.6666,25.4628
Angola,1995,63.2029,171.2983,10.7926,37.4944,14.9112,0.0047,94.177,57.2704,19.8462,36.0898,0.1036,26.4246,0.5849,108.0954,1.21,0.39,1.8,1.07,1.7297,31.1201
Angola,1996,63.7696,174.3929,11.4374,37.9507,14.3735,0.0079,93.4177,60.3947,20.5725,37.4832,0.1434,25.5462,0.5968,110.6233,1.05,0.41,1.88,0.99,1.9987,32.2045
Angola,1997,64.5327,169.9116,11.7562,38.6351,14.1303,0.011,90.9141,59.2431,19.7433,38.5725,0.1613,25.1903,0.6087,105.3789,1.07,0.64,1.74,1.05,2.0278,33.1247
Angola,1998,67.6438,183.5868,11.4007,40.6245,15.6044,0.0142,95.1747,65.6205,22.7774,38.9765,0.1901,27.8567,0.6206,115.943,0.68,0.58,1.3,0.83,2.1569,34.0996
Angola,1999,67.6789,176.5197,12.6656,40.5547,14.4411,0.0174,91.8835,63.5377,21.0811,41.0999,0.12,25.8266,0.6325,108.8409,1.19,0.84,1.48,1.16,2.4359,35.1839
Angola,2000,68.9825,177.3067,12.3879,41.708,14.8661,0.0205,94.7851,62.28,20.2211,41.6109,0.1195,26.6078,0.6444,108.3242,1.43,0.93,1.57,1.07,2.255,35.7759
Angola,2001,73.8661,162.8792,12.9637,45.8013,15.0734,0.0277,84.4548,59.9433,18.4534,45.9275,0.3025,26.9304,0.7057,89.0131,1.55,1.04,1.62,1.2,2.4252,39.6424
Angola,2002,78.2501,184.9664,13.6745,49.5936,14.9471,0.0348,97.6978,67.9956,19.2381,50.533,0.3316,26.6184,0.7671,106.7163,1.33,1.04,1.78,1.48,2.5054,43.7276
Angola,2003,89.9323,200.0232,18.0759,54.967,16.8474,0.0419,105.0688,73.807,21.1054,58.7997,0.39,29.914,0.8285,110.0909,0.8,1.22,1.83,2.75,2.6156,50.3841
Angola,2004,95.7309,216.2453,19.047,59.2422,17.3927,0.0491,112.7694,81.0092,22.4177,63.6581,0.4265,30.7564,0.8899,120.5144,1.3,0.85,2.1,3.14,2.7058,54.8524
Angola,2005,99.0156,221.0412,18.349,63.2831,17.3274,0.0562,113.1166,85.4301,22.4384,66.5983,0.7121,30.7539,0.9513,122.0256,0.91,0.98,1.72,2.45,2.456,58.9923
Angola,2006,105.9221,201.8827,20.4783,69.7444,15.6351,0.0644,95.6929,86.3284,19.7971,76.2176,0.7495,27.7693,1.1857,95.9606,0.82,1.07,1.96,3.26,3.4515,66.4761
Angola,2007,119.1198,234.9922,23.6299,78.466,16.9515,0.0725,115.0423,98.486,21.3915,86.8776,0.7687,30.0536,1.42,115.8724,1.21,1.19,2.27,3.86,3.857,75.7106
Angola,2008,127.0014,226.0313,25.2792,85.5781,16.0634,0.0806,102.8761,102.7661,20.3084,95.8557,0.9673,28.524,1.6544,99.0299,1.3,1.58,2.1,5.16,4.5325,82.4832
Angola,2009,137.1651,237.0347,27.3502,93.4626,16.2634,0.0888,105.0839,111.1476,20.7144,105.435,0.9865,28.8549,1.8887,99.8697,1.2,2.47,2.19,5.7,5.108,89.967
Angola,2010,147.6876,252.0373,28.6788,101.794,17.1178,0.0969,109.7195,120.47,21.7508,114.4331,0.8444,30.287,2.1231,104.3497,1.2,2.6,2.35,6.41,5.4035,97.6696
Angola,2011,151.1196,283.4183,29.5741,103.7543,17.6832,0.108,131.4038,128.5093,23.3972,116.8273,0.8554,31.269,2.1677,132.2987,1.16,2.39,2.44,7.09,5.7993,99.0981
Angola,2012,150.5324,250.7529,29.9531,104.2083,16.2521,0.119,108.7766,121.4353,20.4221,118.6539,0.9178,28.7483,2.2124,100.2205,1.72,2.01,2.23,7.11,6.275,101.0188
Angola,2013,155.8722,270.3391,31.8233,106.5381,17.3808,0.1301,120.9851,127.0301,22.1938,121.8251,1.1267,30.6633,2.2571,114.4669,1.38,2.6,1.64,8.16,7.3608,102.0643
Angola,2014,157.8168,252.0929,33.2924,107.6339,16.7494,0.1411,107.26,123.85,20.84,124.544,1.3869,29.5841,2.3018,94.2761,1.87,3.7,1.5,8.49,7.3066,103.5475
Antigua & Barbuda,1990,0.4044,0.3863,0.2821,0.1091,0.0132,0,0.2641,0.1091,0.0132,0.283,0,0.0363,0.0852,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1991,0.397,0.379,0.2675,0.1133,0.0133,0.0029,0.2494,0.1133,0.0133,0.2683,0.0029,0.0361,0.0896,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1992,0.4008,0.3828,0.2638,0.1176,0.0135,0.0059,0.2457,0.1176,0.0135,0.2646,0.0059,0.0362,0.0941,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1993,0.416,0.3979,0.2711,0.1221,0.0139,0.0088,0.2531,0.1221,0.0139,0.272,0.0088,0.0367,0.0985,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1994,0.4204,0.4024,0.2675,0.1268,0.0144,0.0118,0.2494,0.1268,0.0144,0.2683,0.0118,0.0374,0.1029,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1995,0.4357,0.4176,0.2748,0.1312,0.0149,0.0147,0.2567,0.1312,0.0149,0.2756,0.0147,0.0379,0.1074,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1996,0.4719,0.4539,0.2931,0.1354,0.0153,0.0282,0.2751,0.1354,0.0153,0.294,0.0282,0.0379,0.1119,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1997,0.5046,0.4865,0.3078,0.1395,0.0157,0.0416,0.2897,0.1395,0.0157,0.3086,0.0416,0.038,0.1164,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1998,0.5334,0.5153,0.3188,0.1436,0.016,0.0551,0.3007,0.1436,0.016,0.3196,0.0551,0.0378,0.1209,-0.0181,,,,,0.0008,0
Antigua & Barbuda,1999,0.5622,0.5441,0.3298,0.1477,0.0163,0.0685,0.3117,0.1477,0.0163,0.3306,0.0685,0.0377,0.1254,-0.0181,,,,,0.0008,0
Antigua & Barbuda,2000,0.5943,0.5762,0.3444,0.1518,0.0162,0.0819,0.3264,0.1518,0.0162,0.3453,0.0819,0.0373,0.1298,-0.0181,,,,,0.0008,0
Antigua & Barbuda,2001,0.6225,0.6187,0.3481,0.1544,0.0165,0.1035,0.3443,0.1544,0.0165,0.3489,0.1035,0.0382,0.1319,-0.0038,,,,,0.0009,0
Antigua & Barbuda,2002,0.6686,0.6648,0.3701,0.1567,0.0169,0.125,0.3663,0.1567,0.0169,0.3709,0.125,0.0388,0.1339,-0.0038,,,,,0.0009,0
Antigua & Barbuda,2003,0.7259,0.7221,0.403,0.1591,0.0173,0.1465,0.3993,0.1591,0.0173,0.4039,0.1465,0.0395,0.136,-0.0038,,,,,0.0009,0
Antigua & Barbuda,2004,0.768,0.7642,0.4214,0.1613,0.0173,0.168,0.4176,0.1613,0.0173,0.4222,0.168,0.0397,0.138,-0.0038,,,,,0.0009,0
Antigua & Barbuda,2005,0.7987,0.7949,0.4287,0.163,0.0174,0.1895,0.4249,0.163,0.0174,0.4296,0.1895,0.0395,0.1401,-0.0038,,,,,0.0009,0
Antigua & Barbuda,2006,0.8412,0.9346,0.4433,0.165,0.0175,0.2153,0.5368,0.165,0.0175,0.4443,0.2153,0.0396,0.1419,0.0934,,,,,0.0009,0
Antigua & Barbuda,2007,0.8956,0.989,0.469,0.1676,0.0178,0.2412,0.5624,0.1676,0.0178,0.4699,0.2412,0.0406,0.1438,0.0934,,,,,0.0009,0
Antigua & Barbuda,2008,0.9341,1.0275,0.48,0.1694,0.0177,0.267,0.5734,0.1694,0.0177,0.4809,0.267,0.0404,0.1457,0.0934,,,,,0.0009,0
Antigua & Barbuda,2009,0.991,1.0844,0.5093,0.1711,0.0177,0.2929,0.6027,0.1711,0.0177,0.5103,0.2929,0.0402,0.1476,0.0934,,,,,0.001,0
Antigua & Barbuda,2010,1.0153,1.1087,0.524,0.1602,0.0124,0.3187,0.6174,0.1602,0.0124,0.5249,0.3187,0.0221,0.1495,0.0934,,,,,0.001,0
